Food type,Cropland (ha),Pasture (ha),Total land use (ha),Irrigation water (m3),Rainwater (m3),Total freshwater consumption (m3),Agricultural production emissions (CO2e),Land-use change emissions (CO2e),Total GHG emissions (CO2e)
Sugar,0.03,0.00,0.03,173,432,605,0.08,0.59,0.67
Rice,0.09,0.00,0.09,92,310,403,0.89,1.71,2.60
Rapeseed and mustardseed oil,0.10,0.00,0.10,46,346,393,0.17,1.37,1.54
Maize,0.11,0.00,0.11,27,315,342,0.14,1.83,1.97
Roots and tubers,0.12,0.00,0.12,20,403,423,0.09,1.95,2.04
Wheat,0.14,0.00,0.14,116,434,551,0.24,1.88,2.12
Soy,0.16,0.00,0.16,21,618,639,0.06,2.75,2.81
Fruits and vegetables,0.24,0.00,0.24,229,1087,1316,0.65,3.64,4.29
Sunflowerseed oil,0.26,0.00,0.26,28,579,607,0.20,3.26,3.46
Nuts,0.36,0.00,0.36,537,2755,3292,0.50,5.79,6.29
Pulses,0.44,0.00,0.44,41,922,963,0.37,6.83,7.20
Pork,0.65,0.08,0.73,164,1755,1919,1.92,11.02,12.94
Eggs,0.93,0.31,1.24,173,1838,2011,1.65,18.62,20.27
Fish (farmed),1.31,,1.31,,6219,6219,4.78,21.32,26.10
Poultry,1.38,0.42,1.80,220,2492,2712,2.11,27.80,29.91
Dairy,0.20,1.82,2.02,154,1543,1696,1.72,32.72,34.44
Sheep and goat ,1.41,10.40,11.81,201,3530,3731,16.19,166.60,182.79
Beef,0.51,12.14,12.65,362,9488,9850,18.96,201.34,220.30